image,style_id,baseline_edge_ssim,improved_edge_ssim,edge_ssim_delta,baseline_artifact_score,improved_artifact_score,artifact_score_delta,baseline_latency_ms,improved_latency_ms,latency_delta_ms
000000001675.jpg,paprika,0.5102,0.5106,0.0004,0.037,0.0476,0.0106,549,767,218
000000001675.jpg,shinkai,0.105,0.1141,0.0091,0.0184,0.0326,0.0142,307,622,315
000000001761.jpg,hayao,0.371,0.3604,-0.0106,0.0454,0.0546,0.0092,242,620,378
000000001761.jpg,paprika,0.3086,0.3014,-0.0072,0.0314,0.0397,0.0083,546,759,213
000000001761.jpg,shinkai,0.1219,0.1478,0.0259,0.0118,0.0228,0.011,186,553,367
000000001818.jpg,hayao,0.2153,0.2743,0.059,0.0724,0.0924,0.02,239,576,337
000000001818.jpg,paprika,0.257,0.3272,0.0702,0.0635,0.0837,0.0202,515,642,127
000000001818.jpg,shinkai,0.033,0.0578,0.0248,0.0263,0.0459,0.0196,312,614,302
000000001993.jpg,hayao,0.3115,0.3279,0.0164,0.0474,0.0623,0.0149,253,617,364
000000001993.jpg,paprika,0.2912,0.2772,-0.014,0.035,0.0485,0.0135,483,735,252
000000001993.jpg,shinkai,0.0492,0.0708,0.0216,0.0167,0.0351,0.0184,184,605,421
000000002006.jpg,hayao,0.427,0.4783,0.0513,0.0696,0.0835,0.0139,285,737,452
000000002006.jpg,paprika,0.4503,0.4655,0.0152,0.0524,0.0667,0.0143,585,813,228
000000002006.jpg,shinkai,0.0296,0.0442,0.0146,0.0233,0.0457,0.0224,219,575,356
000000002149.jpg,hayao,0.3144,0.1748,-0.1396,0.0141,0.0258,0.0117,243,650,407
000000002149.jpg,paprika,0.2177,0.123,-0.0947,0.011,0.0243,0.0133,487,703,216
000000002149.jpg,shinkai,0.1417,0.0835,-0.0582,0.0086,0.0256,0.017,175,595,420
000000002153.jpg,hayao,0.397,0.4507,0.0537,0.0654,0.0843,0.0189,276,750,474
000000002153.jpg,paprika,0.354,0.4663,0.1123,0.0474,0.0615,0.0141,544,806,262
000000002153.jpg,shinkai,0.0614,0.1037,0.0423,0.0194,0.0522,0.0328,216,675,459
000000002157.jpg,hayao,0.1876,0.2078,0.0202,0.0455,0.0649,0.0194,239,637,398
000000002157.jpg,paprika,0.2037,0.2014,-0.0023,0.0345,0.0607,0.0262,513,726,213
000000002157.jpg,shinkai,0.0776,0.0913,0.0137,0.0206,0.0466,0.026,177,549,372
000000002261.jpg,hayao,0.1613,0.1913,0.03,0.0433,0.0618,0.0185,245,643,398
000000002261.jpg,paprika,0.1843,0.2164,0.0321,0.037,0.0525,0.0155,491,706,215
000000002261.jpg,shinkai,0.0408,0.1045,0.0637,0.0149,0.0467,0.0318,179,559,380
000000002299.jpg,hayao,0.1671,0.2101,0.043,0.0766,0.0987,0.0221,180,319,139
000000002299.jpg,paprika,0.1903,0.2298,0.0395,0.0676,0.0912,0.0236,277,525,248
000000002299.jpg,shinkai,0.0144,0.0217,0.0073,0.0289,0.0488,0.0199,168,276,108
000000002431.jpg,hayao,0.4638,0.4373,-0.0265,0.0366,0.0528,0.0162,293,730,437
000000002431.jpg,paprika,0.349,0.3124,-0.0366,0.0239,0.0412,0.0173,590,796,206
000000002431.jpg,shinkai,0.1736,0.1631,-0.0105,0.0171,0.0357,0.0186,201,665,464
000000002473.jpg,hayao,0.2048,0.2317,0.0269,0.0418,0.046,0.0042,238,663,425
000000002473.jpg,paprika,0.1406,0.1594,0.0188,0.0203,0.0254,0.0051,531,723,192
000000002473.jpg,shinkai,0.0466,0.0873,0.0407,0.0097,0.0208,0.0111,176,637,461
