style_id,samples,baseline_edge_ssim_mean,improved_edge_ssim_mean,edge_ssim_delta_mean,baseline_artifact_mean,improved_artifact_mean,artifact_delta_mean,baseline_latency_ms_mean,improved_latency_ms_mean,latency_delta_ms_mean,edge_win_rate,artifact_win_rate,overall_win_rate
hayao,1,0.3134,0.3133,-0.0001,0.0394,0.0605,0.0211,2360.0,2270.0,-90.0,0.0,0.0,0.0
paprika,1,0.3639,0.3142,-0.0497,0.033,0.0554,0.0224,2329.0,2207.0,-122.0,0.0,0.0,0.0
shinkai,1,0.3228,0.2932,-0.0296,0.031,0.0512,0.0202,2549.0,2774.0,225.0,0.0,0.0,0.0
__all__,3,0.3334,0.3069,-0.0265,0.0345,0.0557,0.0212,2412.67,2417.0,4.33,0.0,0.0,0.0
