image,style_id,baseline_edge_ssim,improved_edge_ssim,edge_ssim_delta,baseline_artifact_score,improved_artifact_score,artifact_score_delta,baseline_latency_ms,improved_latency_ms,latency_delta_ms
000000001584.jpg,shinkai,0.101,0.1093,0.0083,0.0212,0.0347,0.0135,2710,4170,1460
000000001675.jpg,hayao,0.562,0.6054,0.0434,0.0549,0.056,0.0011,1223,1767,544
000000001675.jpg,paprika,0.5102,0.5367,0.0265,0.037,0.0396,0.0026,567,1168,601
000000001675.jpg,shinkai,0.105,0.1178,0.0128,0.0184,0.0257,0.0073,1744,3075,1331
000000001761.jpg,hayao,0.371,0.3636,-0.0074,0.0454,0.0464,0.001,996,1560,564
000000001761.jpg,paprika,0.3086,0.3161,0.0075,0.0314,0.0336,0.0022,351,830,479
000000001761.jpg,shinkai,0.1219,0.1395,0.0176,0.0118,0.0175,0.0057,1628,2526,898
000000001818.jpg,hayao,0.2153,0.2737,0.0584,0.0724,0.0785,0.0061,905,1570,665
000000001818.jpg,paprika,0.257,0.32,0.063,0.0635,0.0692,0.0057,295,1024,729
000000001818.jpg,shinkai,0.033,0.056,0.023,0.0263,0.035,0.0087,1654,2391,737
000000001993.jpg,hayao,0.3115,0.3522,0.0407,0.0474,0.0499,0.0025,942,1358,416
000000001993.jpg,paprika,0.2912,0.2893,-0.0019,0.035,0.0394,0.0044,551,1226,675
000000001993.jpg,shinkai,0.0492,0.0644,0.0152,0.0167,0.0256,0.0089,1636,2533,897
000000002006.jpg,hayao,0.427,0.4866,0.0596,0.0696,0.0708,0.0012,1016,1755,739
000000002006.jpg,paprika,0.4503,0.4808,0.0305,0.0524,0.0551,0.0027,606,1374,768
000000002006.jpg,shinkai,0.0296,0.0406,0.011,0.0233,0.034,0.0107,1698,3004,1306
000000002149.jpg,hayao,0.3144,0.2282,-0.0862,0.0141,0.0202,0.0061,871,1604,733
000000002149.jpg,paprika,0.2177,0.1931,-0.0246,0.011,0.0185,0.0075,449,991,542
